statement,Significant number 1 detected,Significant number 2 detected,equation generated,answer evaluated
4 raise twice,4,2,x^y,16
47 raise twice,47,2,x^y,2209
72 raise twice,72,2,x^y,5184
89 raise twice,89,2,x^y,7921
46 raise twice,46,2,x^y,2116
60 raise twice,60,2,x^y,3600
93 raise twice,93,2,x^y,8649
71 raise twice,71,2,x^y,5041
62 raise twice,62,2,x^y,3844
18 raise twice,18,2,x^y,324
75 raise twice,75,2,x^y,5625
19 raise twice,19,2,x^y,361
44 raise twice,44,2,x^y,1936
71 raise twice,71,2,x^y,5041
88 raise twice,88,2,x^y,7744
26 raise twice,26,2,x^y,676
67 raise twice,67,2,x^y,4489
30 raise twice,30,2,x^y,900
20 raise twice,20,2,x^y,400
84 raise twice,84,2,x^y,7056
95 raise twice,95,2,x^y,9025
95 raise twice,95,2,x^y,9025
5 raise twice,5,2,x^y,25
8 raise twice,8,2,x^y,64
59 raise twice,59,2,x^y,3481
53 raise twice,53,2,x^y,2809
42 raise twice,42,2,x^y,1764
12 raise twice,12,2,x^y,144
1 raise twice,1,2,x^y,1
85 raise twice,85,2,x^y,7225
78 raise twice,78,2,x^y,6084
76 raise twice,76,2,x^y,5776
7 raise twice,7,2,x^y,49
74 raise twice,74,2,x^y,5476
38 raise twice,38,2,x^y,1444
91 raise twice,91,2,x^y,8281
48 raise twice,48,2,x^y,2304
50 raise twice,50,2,x^y,2500
95 raise twice,95,2,x^y,9025
37 raise twice,37,2,x^y,1369
61 raise twice,61,2,x^y,3721
17 raise twice,17,2,x^y,289
20 raise twice,20,2,x^y,400
2 raise twice,2,2,x^y,4
13 raise twice,13,2,x^y,169
20 raise twice,20,2,x^y,400
80 raise twice,80,2,x^y,6400
84 raise twice,84,2,x^y,7056
35 raise twice,35,2,x^y,1225
3 raise twice,3,2,x^y,9
77 raise twice,77,2,x^y,5929
38 raise twice,38,2,x^y,1444
68 raise twice,68,2,x^y,4624
77 raise twice,77,2,x^y,5929
17 raise twice,17,2,x^y,289
97 raise twice,97,2,x^y,9409
70 raise twice,70,2,x^y,4900
64 raise twice,64,2,x^y,4096
49 raise twice,49,2,x^y,2401
12 raise twice,12,2,x^y,144
53 raise twice,53,2,x^y,2809
96 raise twice,96,2,x^y,9216
41 raise twice,41,2,x^y,1681
44 raise twice,44,2,x^y,1936
72 raise twice,72,2,x^y,5184
36 raise twice,36,2,x^y,1296
96 raise twice,96,2,x^y,9216
34 raise twice,34,2,x^y,1156
72 raise twice,72,2,x^y,5184
92 raise twice,92,2,x^y,8464
84 raise twice,84,2,x^y,7056
28 raise twice,28,2,x^y,784
85 raise twice,85,2,x^y,7225
23 raise twice,23,2,x^y,529
76 raise twice,76,2,x^y,5776
80 raise twice,80,2,x^y,6400
60 raise twice,60,2,x^y,3600
19 raise twice,19,2,x^y,361
61 raise twice,61,2,x^y,3721
92 raise twice,92,2,x^y,8464
80 raise twice,80,2,x^y,6400
75 raise twice,75,2,x^y,5625
34 raise twice,34,2,x^y,1156
1 raise twice,1,2,x^y,1
66 raise twice,66,2,x^y,4356
14 raise twice,14,2,x^y,196
43 raise twice,43,2,x^y,1849
62 raise twice,62,2,x^y,3844
14 raise twice,14,2,x^y,196
62 raise twice,62,2,x^y,3844
52 raise twice,52,2,x^y,2704
68 raise twice,68,2,x^y,4624
92 raise twice,92,2,x^y,8464
47 raise twice,47,2,x^y,2209
11 raise twice,11,2,x^y,121
7 raise twice,7,2,x^y,49
56 raise twice,56,2,x^y,3136
78 raise twice,78,2,x^y,6084
44 raise twice,44,2,x^y,1936
70 raise twice,70,2,x^y,4900
76 raise twice,76,2,x^y,5776
70 raise twice,70,2,x^y,4900
42 raise twice,42,2,x^y,1764
21 raise twice,21,2,x^y,441
90 raise twice,90,2,x^y,8100
76 raise twice,76,2,x^y,5776
36 raise twice,36,2,x^y,1296
22 raise twice,22,2,x^y,484
82 raise twice,82,2,x^y,6724
73 raise twice,73,2,x^y,5329
90 raise twice,90,2,x^y,8100
63 raise twice,63,2,x^y,3969
54 raise twice,54,2,x^y,2916
61 raise twice,61,2,x^y,3721
24 raise twice,24,2,x^y,576
20 raise twice,20,2,x^y,400
1 raise twice,1,2,x^y,1
85 raise twice,85,2,x^y,7225
59 raise twice,59,2,x^y,3481
63 raise twice,63,2,x^y,3969
24 raise twice,24,2,x^y,576
56 raise twice,56,2,x^y,3136
97 raise twice,97,2,x^y,9409
16 raise twice,16,2,x^y,256
78 raise twice,78,2,x^y,6084
20 raise twice,20,2,x^y,400
69 raise twice,69,2,x^y,4761
63 raise twice,63,2,x^y,3969
69 raise twice,69,2,x^y,4761
53 raise twice,53,2,x^y,2809
79 raise twice,79,2,x^y,6241
58 raise twice,58,2,x^y,3364
82 raise twice,82,2,x^y,6724
67 raise twice,67,2,x^y,4489
52 raise twice,52,2,x^y,2704
53 raise twice,53,2,x^y,2809
42 raise twice,42,2,x^y,1764
78 raise twice,78,2,x^y,6084
9 raise twice,9,2,x^y,81
20 raise twice,20,2,x^y,400
77 raise twice,77,2,x^y,5929
23 raise twice,23,2,x^y,529
6 raise twice,6,2,x^y,36
22 raise twice,22,2,x^y,484
70 raise twice,70,2,x^y,4900
77 raise twice,77,2,x^y,5929
14 raise twice,14,2,x^y,196
33 raise twice,33,2,x^y,1089
33 raise twice,33,2,x^y,1089
13 raise twice,13,2,x^y,169
80 raise twice,80,2,x^y,6400
33 raise twice,33,2,x^y,1089
4 raise twice,4,2,x^y,16
13 raise twice,13,2,x^y,169
38 raise twice,38,2,x^y,1444
23 raise twice,23,2,x^y,529
3 raise twice,3,2,x^y,9
28 raise twice,28,2,x^y,784
55 raise twice,55,2,x^y,3025
46 raise twice,46,2,x^y,2116
16 raise twice,16,2,x^y,256
30 raise twice,30,2,x^y,900
19 raise twice,19,2,x^y,361
72 raise twice,72,2,x^y,5184
47 raise twice,47,2,x^y,2209
13 raise twice,13,2,x^y,169
4 raise twice,4,2,x^y,16
75 raise twice,75,2,x^y,5625
88 raise twice,88,2,x^y,7744
44 raise twice,44,2,x^y,1936
45 raise twice,45,2,x^y,2025
84 raise twice,84,2,x^y,7056
1 raise twice,1,2,x^y,1
18 raise twice,18,2,x^y,324
27 raise twice,27,2,x^y,729
48 raise twice,48,2,x^y,2304
45 raise twice,45,2,x^y,2025
89 raise twice,89,2,x^y,7921
84 raise twice,84,2,x^y,7056
10 raise twice,10,2,x^y,100
88 raise twice,88,2,x^y,7744
88 raise twice,88,2,x^y,7744
22 raise twice,22,2,x^y,484
14 raise twice,14,2,x^y,196
9 raise twice,9,2,x^y,81
32 raise twice,32,2,x^y,1024
47 raise twice,47,2,x^y,2209
60 raise twice,60,2,x^y,3600
95 raise twice,95,2,x^y,9025
64 raise twice,64,2,x^y,4096
81 raise twice,81,2,x^y,6561
36 raise twice,36,2,x^y,1296
4 raise twice,4,2,x^y,16
91 raise twice,91,2,x^y,8281
73 raise twice,73,2,x^y,5329
32 raise twice,32,2,x^y,1024
62 raise twice,62,2,x^y,3844
23 raise twice,23,2,x^y,529
66 raise twice,66,2,x^y,4356
13 raise twice,13,2,x^y,169
83 raise twice,83,2,x^y,6889
4 raise twice,4,2,x^y,16
41 raise twice,41,2,x^y,1681
86 raise twice,86,2,x^y,7396
87 raise twice,87,2,x^y,7569
96 raise twice,96,2,x^y,9216
95 raise twice,95,2,x^y,9025
83 raise twice,83,2,x^y,6889
13 raise twice,13,2,x^y,169
58 raise twice,58,2,x^y,3364
42 raise twice,42,2,x^y,1764
31 raise twice,31,2,x^y,961
40 raise twice,40,2,x^y,1600
23 raise twice,23,2,x^y,529
36 raise twice,36,2,x^y,1296
75 raise twice,75,2,x^y,5625
4 raise twice,4,2,x^y,16
12 raise twice,12,2,x^y,144
90 raise twice,90,2,x^y,8100
97 raise twice,97,2,x^y,9409
64 raise twice,64,2,x^y,4096
71 raise twice,71,2,x^y,5041
70 raise twice,70,2,x^y,4900
65 raise twice,65,2,x^y,4225
25 raise twice,25,2,x^y,625
45 raise twice,45,2,x^y,2025
57 raise twice,57,2,x^y,3249
82 raise twice,82,2,x^y,6724
85 raise twice,85,2,x^y,7225
71 raise twice,71,2,x^y,5041
11 raise twice,11,2,x^y,121
86 raise twice,86,2,x^y,7396
94 raise twice,94,2,x^y,8836
16 raise twice,16,2,x^y,256
25 raise twice,25,2,x^y,625
5 raise twice,5,2,x^y,25
35 raise twice,35,2,x^y,1225
27 raise twice,27,2,x^y,729
49 raise twice,49,2,x^y,2401
2 raise twice,2,2,x^y,4
62 raise twice,62,2,x^y,3844
97 raise twice,97,2,x^y,9409
93 raise twice,93,2,x^y,8649
67 raise twice,67,2,x^y,4489
65 raise twice,65,2,x^y,4225
76 raise twice,76,2,x^y,5776
30 raise twice,30,2,x^y,900
7 raise twice,7,2,x^y,49
41 raise twice,41,2,x^y,1681
95 raise twice,95,2,x^y,9025
12 raise twice,12,2,x^y,144
40 raise twice,40,2,x^y,1600
50 raise twice,50,2,x^y,2500
14 raise twice,14,2,x^y,196
29 raise twice,29,2,x^y,841
80 raise twice,80,2,x^y,6400
57 raise twice,57,2,x^y,3249
36 raise twice,36,2,x^y,1296
24 raise twice,24,2,x^y,576
39 raise twice,39,2,x^y,1521
32 raise twice,32,2,x^y,1024
7 raise twice,7,2,x^y,49
71 raise twice,71,2,x^y,5041
40 raise twice,40,2,x^y,1600
72 raise twice,72,2,x^y,5184
9 raise twice,9,2,x^y,81
55 raise twice,55,2,x^y,3025
22 raise twice,22,2,x^y,484
15 raise twice,15,2,x^y,225
55 raise twice,55,2,x^y,3025
43 raise twice,43,2,x^y,1849
45 raise twice,45,2,x^y,2025
93 raise twice,93,2,x^y,8649
26 raise twice,26,2,x^y,676
32 raise twice,32,2,x^y,1024
7 raise twice,7,2,x^y,49
2 raise twice,2,2,x^y,4
31 raise twice,31,2,x^y,961
48 raise twice,48,2,x^y,2304
47 raise twice,47,2,x^y,2209
57 raise twice,57,2,x^y,3249
5 raise twice,5,2,x^y,25
58 raise twice,58,2,x^y,3364
53 raise twice,53,2,x^y,2809
86 raise twice,86,2,x^y,7396
89 raise twice,89,2,x^y,7921
15 raise twice,15,2,x^y,225
96 raise twice,96,2,x^y,9216
82 raise twice,82,2,x^y,6724
62 raise twice,62,2,x^y,3844
81 raise twice,81,2,x^y,6561
26 raise twice,26,2,x^y,676
71 raise twice,71,2,x^y,5041
25 raise twice,25,2,x^y,625
40 raise twice,40,2,x^y,1600
60 raise twice,60,2,x^y,3600
80 raise twice,80,2,x^y,6400
8 raise twice,8,2,x^y,64
33 raise twice,33,2,x^y,1089
80 raise twice,80,2,x^y,6400
94 raise twice,94,2,x^y,8836
16 raise twice,16,2,x^y,256
23 raise twice,23,2,x^y,529
47 raise twice,47,2,x^y,2209
89 raise twice,89,2,x^y,7921
1 raise twice,1,2,x^y,1
16 raise twice,16,2,x^y,256
50 raise twice,50,2,x^y,2500
43 raise twice,43,2,x^y,1849
86 raise twice,86,2,x^y,7396
74 raise twice,74,2,x^y,5476
7 raise twice,7,2,x^y,49
50 raise twice,50,2,x^y,2500
57 raise twice,57,2,x^y,3249
73 raise twice,73,2,x^y,5329
68 raise twice,68,2,x^y,4624
79 raise twice,79,2,x^y,6241
63 raise twice,63,2,x^y,3969
98 raise twice,98,2,x^y,9604
74 raise twice,74,2,x^y,5476
74 raise twice,74,2,x^y,5476
32 raise twice,32,2,x^y,1024
26 raise twice,26,2,x^y,676
12 raise twice,12,2,x^y,144
27 raise twice,27,2,x^y,729
66 raise twice,66,2,x^y,4356
60 raise twice,60,2,x^y,3600
23 raise twice,23,2,x^y,529
69 raise twice,69,2,x^y,4761
30 raise twice,30,2,x^y,900
81 raise twice,81,2,x^y,6561
75 raise twice,75,2,x^y,5625
55 raise twice,55,2,x^y,3025
80 raise twice,80,2,x^y,6400
48 raise twice,48,2,x^y,2304
97 raise twice,97,2,x^y,9409
84 raise twice,84,2,x^y,7056
81 raise twice,81,2,x^y,6561
72 raise twice,72,2,x^y,5184
71 raise twice,71,2,x^y,5041
64 raise twice,64,2,x^y,4096
64 raise twice,64,2,x^y,4096
10 raise twice,10,2,x^y,100
7 raise twice,7,2,x^y,49
44 raise twice,44,2,x^y,1936
53 raise twice,53,2,x^y,2809
40 raise twice,40,2,x^y,1600
69 raise twice,69,2,x^y,4761
94 raise twice,94,2,x^y,8836
23 raise twice,23,2,x^y,529
97 raise twice,97,2,x^y,9409
71 raise twice,71,2,x^y,5041
51 raise twice,51,2,x^y,2601
69 raise twice,69,2,x^y,4761
22 raise twice,22,2,x^y,484
14 raise twice,14,2,x^y,196
75 raise twice,75,2,x^y,5625
88 raise twice,88,2,x^y,7744
19 raise twice,19,2,x^y,361
60 raise twice,60,2,x^y,3600
35 raise twice,35,2,x^y,1225
39 raise twice,39,2,x^y,1521
90 raise twice,90,2,x^y,8100
79 raise twice,79,2,x^y,6241
11 raise twice,11,2,x^y,121
9 raise twice,9,2,x^y,81
88 raise twice,88,2,x^y,7744
81 raise twice,81,2,x^y,6561
88 raise twice,88,2,x^y,7744
61 raise twice,61,2,x^y,3721
71 raise twice,71,2,x^y,5041
60 raise twice,60,2,x^y,3600
56 raise twice,56,2,x^y,3136
72 raise twice,72,2,x^y,5184
33 raise twice,33,2,x^y,1089
3 raise twice,3,2,x^y,9
67 raise twice,67,2,x^y,4489
63 raise twice,63,2,x^y,3969
93 raise twice,93,2,x^y,8649
16 raise twice,16,2,x^y,256
35 raise twice,35,2,x^y,1225
97 raise twice,97,2,x^y,9409
40 raise twice,40,2,x^y,1600
24 raise twice,24,2,x^y,576
8 raise twice,8,2,x^y,64
22 raise twice,22,2,x^y,484
78 raise twice,78,2,x^y,6084
8 raise twice,8,2,x^y,64
76 raise twice,76,2,x^y,5776
79 raise twice,79,2,x^y,6241
58 raise twice,58,2,x^y,3364
2 raise twice,2,2,x^y,4
2 raise twice,2,2,x^y,4
44 raise twice,44,2,x^y,1936
21 raise twice,21,2,x^y,441
96 raise twice,96,2,x^y,9216
76 raise twice,76,2,x^y,5776
12 raise twice,12,2,x^y,144
4 raise twice,4,2,x^y,16
82 raise twice,82,2,x^y,6724
57 raise twice,57,2,x^y,3249
74 raise twice,74,2,x^y,5476
26 raise twice,26,2,x^y,676
83 raise twice,83,2,x^y,6889
5 raise twice,5,2,x^y,25
95 raise twice,95,2,x^y,9025
99 raise twice,99,2,x^y,9801
76 raise twice,76,2,x^y,5776
4 raise twice,4,2,x^y,16
43 raise twice,43,2,x^y,1849
87 raise twice,87,2,x^y,7569
96 raise twice,96,2,x^y,9216
75 raise twice,75,2,x^y,5625
88 raise twice,88,2,x^y,7744
19 raise twice,19,2,x^y,361
62 raise twice,62,2,x^y,3844
42 raise twice,42,2,x^y,1764
41 raise twice,41,2,x^y,1681
91 raise twice,91,2,x^y,8281
58 raise twice,58,2,x^y,3364
80 raise twice,80,2,x^y,6400
43 raise twice,43,2,x^y,1849
15 raise twice,15,2,x^y,225
85 raise twice,85,2,x^y,7225
98 raise twice,98,2,x^y,9604
90 raise twice,90,2,x^y,8100
74 raise twice,74,2,x^y,5476
15 raise twice,15,2,x^y,225
89 raise twice,89,2,x^y,7921
77 raise twice,77,2,x^y,5929
59 raise twice,59,2,x^y,3481
19 raise twice,19,2,x^y,361
2 raise twice,2,2,x^y,4
90 raise twice,90,2,x^y,8100
15 raise twice,15,2,x^y,225
75 raise twice,75,2,x^y,5625
42 raise twice,42,2,x^y,1764
16 raise twice,16,2,x^y,256
83 raise twice,83,2,x^y,6889
79 raise twice,79,2,x^y,6241
65 raise twice,65,2,x^y,4225
27 raise twice,27,2,x^y,729
55 raise twice,55,2,x^y,3025
48 raise twice,48,2,x^y,2304
99 raise twice,99,2,x^y,9801
16 raise twice,16,2,x^y,256
29 raise twice,29,2,x^y,841
55 raise twice,55,2,x^y,3025
78 raise twice,78,2,x^y,6084
10 raise twice,10,2,x^y,100
41 raise twice,41,2,x^y,1681
24 raise twice,24,2,x^y,576
88 raise twice,88,2,x^y,7744
93 raise twice,93,2,x^y,8649
17 raise twice,17,2,x^y,289
96 raise twice,96,2,x^y,9216
52 raise twice,52,2,x^y,2704
50 raise twice,50,2,x^y,2500
81 raise twice,81,2,x^y,6561
61 raise twice,61,2,x^y,3721
54 raise twice,54,2,x^y,2916
58 raise twice,58,2,x^y,3364
80 raise twice,80,2,x^y,6400
65 raise twice,65,2,x^y,4225
94 raise twice,94,2,x^y,8836
39 raise twice,39,2,x^y,1521
8 raise twice,8,2,x^y,64
46 raise twice,46,2,x^y,2116
7 raise twice,7,2,x^y,49
3 raise twice,3,2,x^y,9
42 raise twice,42,2,x^y,1764
34 raise twice,34,2,x^y,1156
89 raise twice,89,2,x^y,7921
33 raise twice,33,2,x^y,1089
80 raise twice,80,2,x^y,6400
38 raise twice,38,2,x^y,1444
14 raise twice,14,2,x^y,196
32 raise twice,32,2,x^y,1024
62 raise twice,62,2,x^y,3844
53 raise twice,53,2,x^y,2809
27 raise twice,27,2,x^y,729
85 raise twice,85,2,x^y,7225
64 raise twice,64,2,x^y,4096
24 raise twice,24,2,x^y,576
35 raise twice,35,2,x^y,1225
57 raise twice,57,2,x^y,3249
61 raise twice,61,2,x^y,3721
95 raise twice,95,2,x^y,9025
98 raise twice,98,2,x^y,9604
5 raise twice,5,2,x^y,25
6 raise twice,6,2,x^y,36
62 raise twice,62,2,x^y,3844
43 raise twice,43,2,x^y,1849
22 raise twice,22,2,x^y,484
65 raise twice,65,2,x^y,4225
81 raise twice,81,2,x^y,6561
23 raise twice,23,2,x^y,529
80 raise twice,80,2,x^y,6400
95 raise twice,95,2,x^y,9025
81 raise twice,81,2,x^y,6561
85 raise twice,85,2,x^y,7225
62 raise twice,62,2,x^y,3844
63 raise twice,63,2,x^y,3969
47 raise twice,47,2,x^y,2209
48 raise twice,48,2,x^y,2304
32 raise twice,32,2,x^y,1024
13 raise twice,13,2,x^y,169
8 raise twice,8,2,x^y,64
60 raise twice,60,2,x^y,3600
96 raise twice,96,2,x^y,9216
20 raise twice,20,2,x^y,400
86 raise twice,86,2,x^y,7396
49 raise twice,49,2,x^y,2401
31 raise twice,31,2,x^y,961
91 raise twice,91,2,x^y,8281
84 raise twice,84,2,x^y,7056
85 raise twice,85,2,x^y,7225
94 raise twice,94,2,x^y,8836
60 raise twice,60,2,x^y,3600
74 raise twice,74,2,x^y,5476
10 raise twice,10,2,x^y,100
77 raise twice,77,2,x^y,5929
84 raise twice,84,2,x^y,7056
31 raise twice,31,2,x^y,961
96 raise twice,96,2,x^y,9216
24 raise twice,24,2,x^y,576
34 raise twice,34,2,x^y,1156
70 raise twice,70,2,x^y,4900
23 raise twice,23,2,x^y,529
48 raise twice,48,2,x^y,2304
78 raise twice,78,2,x^y,6084
39 raise twice,39,2,x^y,1521
65 raise twice,65,2,x^y,4225
66 raise twice,66,2,x^y,4356
77 raise twice,77,2,x^y,5929
64 raise twice,64,2,x^y,4096
67 raise twice,67,2,x^y,4489
68 raise twice,68,2,x^y,4624
68 raise twice,68,2,x^y,4624
36 raise twice,36,2,x^y,1296
93 raise twice,93,2,x^y,8649
96 raise twice,96,2,x^y,9216
65 raise twice,65,2,x^y,4225
90 raise twice,90,2,x^y,8100
42 raise twice,42,2,x^y,1764
97 raise twice,97,2,x^y,9409
29 raise twice,29,2,x^y,841
32 raise twice,32,2,x^y,1024
44 raise twice,44,2,x^y,1936
44 raise twice,44,2,x^y,1936
40 raise twice,40,2,x^y,1600
94 raise twice,94,2,x^y,8836
87 raise twice,87,2,x^y,7569
72 raise twice,72,2,x^y,5184
66 raise twice,66,2,x^y,4356
28 raise twice,28,2,x^y,784
80 raise twice,80,2,x^y,6400
35 raise twice,35,2,x^y,1225
77 raise twice,77,2,x^y,5929
70 raise twice,70,2,x^y,4900
64 raise twice,64,2,x^y,4096
50 raise twice,50,2,x^y,2500
5 raise twice,5,2,x^y,25
26 raise twice,26,2,x^y,676
24 raise twice,24,2,x^y,576
63 raise twice,63,2,x^y,3969
64 raise twice,64,2,x^y,4096
29 raise twice,29,2,x^y,841
73 raise twice,73,2,x^y,5329
55 raise twice,55,2,x^y,3025
79 raise twice,79,2,x^y,6241
83 raise twice,83,2,x^y,6889
14 raise twice,14,2,x^y,196
88 raise twice,88,2,x^y,7744
50 raise twice,50,2,x^y,2500
73 raise twice,73,2,x^y,5329
38 raise twice,38,2,x^y,1444
70 raise twice,70,2,x^y,4900
11 raise twice,11,2,x^y,121
21 raise twice,21,2,x^y,441
92 raise twice,92,2,x^y,8464
22 raise twice,22,2,x^y,484
34 raise twice,34,2,x^y,1156
89 raise twice,89,2,x^y,7921
42 raise twice,42,2,x^y,1764
33 raise twice,33,2,x^y,1089
88 raise twice,88,2,x^y,7744
36 raise twice,36,2,x^y,1296
47 raise twice,47,2,x^y,2209
21 raise twice,21,2,x^y,441
48 raise twice,48,2,x^y,2304
12 raise twice,12,2,x^y,144
39 raise twice,39,2,x^y,1521
50 raise twice,50,2,x^y,2500
17 raise twice,17,2,x^y,289
30 raise twice,30,2,x^y,900
43 raise twice,43,2,x^y,1849
97 raise twice,97,2,x^y,9409
21 raise twice,21,2,x^y,441
94 raise twice,94,2,x^y,8836
78 raise twice,78,2,x^y,6084
31 raise twice,31,2,x^y,961
46 raise twice,46,2,x^y,2116
10 raise twice,10,2,x^y,100
60 raise twice,60,2,x^y,3600
31 raise twice,31,2,x^y,961
61 raise twice,61,2,x^y,3721
14 raise twice,14,2,x^y,196
79 raise twice,79,2,x^y,6241
8 raise twice,8,2,x^y,64
23 raise twice,23,2,x^y,529
26 raise twice,26,2,x^y,676
40 raise twice,40,2,x^y,1600
21 raise twice,21,2,x^y,441
95 raise twice,95,2,x^y,9025
40 raise twice,40,2,x^y,1600
66 raise twice,66,2,x^y,4356
24 raise twice,24,2,x^y,576
99 raise twice,99,2,x^y,9801
27 raise twice,27,2,x^y,729
77 raise twice,77,2,x^y,5929
39 raise twice,39,2,x^y,1521
60 raise twice,60,2,x^y,3600
35 raise twice,35,2,x^y,1225
11 raise twice,11,2,x^y,121
23 raise twice,23,2,x^y,529
90 raise twice,90,2,x^y,8100
46 raise twice,46,2,x^y,2116
57 raise twice,57,2,x^y,3249
62 raise twice,62,2,x^y,3844
79 raise twice,79,2,x^y,6241
36 raise twice,36,2,x^y,1296
84 raise twice,84,2,x^y,7056
72 raise twice,72,2,x^y,5184
91 raise twice,91,2,x^y,8281
34 raise twice,34,2,x^y,1156
86 raise twice,86,2,x^y,7396
93 raise twice,93,2,x^y,8649
49 raise twice,49,2,x^y,2401
94 raise twice,94,2,x^y,8836
2 raise twice,2,2,x^y,4
87 raise twice,87,2,x^y,7569
46 raise twice,46,2,x^y,2116
6 raise twice,6,2,x^y,36
17 raise twice,17,2,x^y,289
59 raise twice,59,2,x^y,3481
21 raise twice,21,2,x^y,441
12 raise twice,12,2,x^y,144
17 raise twice,17,2,x^y,289
17 raise twice,17,2,x^y,289
42 raise twice,42,2,x^y,1764
20 raise twice,20,2,x^y,400
40 raise twice,40,2,x^y,1600
60 raise twice,60,2,x^y,3600
63 raise twice,63,2,x^y,3969
19 raise twice,19,2,x^y,361
53 raise twice,53,2,x^y,2809
34 raise twice,34,2,x^y,1156
55 raise twice,55,2,x^y,3025
33 raise twice,33,2,x^y,1089
69 raise twice,69,2,x^y,4761
29 raise twice,29,2,x^y,841
9 raise twice,9,2,x^y,81
97 raise twice,97,2,x^y,9409
17 raise twice,17,2,x^y,289
89 raise twice,89,2,x^y,7921
90 raise twice,90,2,x^y,8100
65 raise twice,65,2,x^y,4225
12 raise twice,12,2,x^y,144
74 raise twice,74,2,x^y,5476
84 raise twice,84,2,x^y,7056
31 raise twice,31,2,x^y,961
67 raise twice,67,2,x^y,4489
86 raise twice,86,2,x^y,7396
39 raise twice,39,2,x^y,1521
29 raise twice,29,2,x^y,841
55 raise twice,55,2,x^y,3025
66 raise twice,66,2,x^y,4356
94 raise twice,94,2,x^y,8836
18 raise twice,18,2,x^y,324
53 raise twice,53,2,x^y,2809
74 raise twice,74,2,x^y,5476
54 raise twice,54,2,x^y,2916
67 raise twice,67,2,x^y,4489
31 raise twice,31,2,x^y,961
55 raise twice,55,2,x^y,3025
77 raise twice,77,2,x^y,5929
67 raise twice,67,2,x^y,4489
93 raise twice,93,2,x^y,8649
87 raise twice,87,2,x^y,7569
57 raise twice,57,2,x^y,3249
63 raise twice,63,2,x^y,3969
64 raise twice,64,2,x^y,4096
99 raise twice,99,2,x^y,9801
33 raise twice,33,2,x^y,1089
5 raise twice,5,2,x^y,25
56 raise twice,56,2,x^y,3136
77 raise twice,77,2,x^y,5929
4 raise twice,4,2,x^y,16
89 raise twice,89,2,x^y,7921
2 raise twice,2,2,x^y,4
26 raise twice,26,2,x^y,676
99 raise twice,99,2,x^y,9801
64 raise twice,64,2,x^y,4096
43 raise twice,43,2,x^y,1849
71 raise twice,71,2,x^y,5041
49 raise twice,49,2,x^y,2401
69 raise twice,69,2,x^y,4761
87 raise twice,87,2,x^y,7569
87 raise twice,87,2,x^y,7569
85 raise twice,85,2,x^y,7225
62 raise twice,62,2,x^y,3844
56 raise twice,56,2,x^y,3136
89 raise twice,89,2,x^y,7921
57 raise twice,57,2,x^y,3249
77 raise twice,77,2,x^y,5929
1 raise twice,1,2,x^y,1
30 raise twice,30,2,x^y,900
39 raise twice,39,2,x^y,1521
5 raise twice,5,2,x^y,25
25 raise thrice,25,3,x^y,15625
73 raise thrice,73,3,x^y,389017
62 raise thrice,62,3,x^y,238328
65 raise thrice,65,3,x^y,274625
37 raise thrice,37,3,x^y,50653
4 raise thrice,4,3,x^y,64
57 raise thrice,57,3,x^y,185193
26 raise thrice,26,3,x^y,17576
25 raise thrice,25,3,x^y,15625
50 raise thrice,50,3,x^y,125000
93 raise thrice,93,3,x^y,804357
83 raise thrice,83,3,x^y,571787
58 raise thrice,58,3,x^y,195112
38 raise thrice,38,3,x^y,54872
50 raise thrice,50,3,x^y,125000
12 raise thrice,12,3,x^y,1728
16 raise thrice,16,3,x^y,4096
80 raise thrice,80,3,x^y,512000
17 raise thrice,17,3,x^y,4913
67 raise thrice,67,3,x^y,300763
27 raise thrice,27,3,x^y,19683
54 raise thrice,54,3,x^y,157464
51 raise thrice,51,3,x^y,132651
43 raise thrice,43,3,x^y,79507
19 raise thrice,19,3,x^y,6859
35 raise thrice,35,3,x^y,42875
16 raise thrice,16,3,x^y,4096
46 raise thrice,46,3,x^y,97336
87 raise thrice,87,3,x^y,658503
66 raise thrice,66,3,x^y,287496
47 raise thrice,47,3,x^y,103823
32 raise thrice,32,3,x^y,32768
97 raise thrice,97,3,x^y,912673
15 raise thrice,15,3,x^y,3375
92 raise thrice,92,3,x^y,778688
26 raise thrice,26,3,x^y,17576
8 raise thrice,8,3,x^y,512
59 raise thrice,59,3,x^y,205379
45 raise thrice,45,3,x^y,91125
25 raise thrice,25,3,x^y,15625
15 raise thrice,15,3,x^y,3375
80 raise thrice,80,3,x^y,512000
17 raise thrice,17,3,x^y,4913
62 raise thrice,62,3,x^y,238328
20 raise thrice,20,3,x^y,8000
82 raise thrice,82,3,x^y,551368
84 raise thrice,84,3,x^y,592704
49 raise thrice,49,3,x^y,117649
66 raise thrice,66,3,x^y,287496
84 raise thrice,84,3,x^y,592704
57 raise thrice,57,3,x^y,185193
17 raise thrice,17,3,x^y,4913
51 raise thrice,51,3,x^y,132651
99 raise thrice,99,3,x^y,970299
2 raise thrice,2,3,x^y,8
64 raise thrice,64,3,x^y,262144
5 raise thrice,5,3,x^y,125
28 raise thrice,28,3,x^y,21952
85 raise thrice,85,3,x^y,614125
89 raise thrice,89,3,x^y,704969
70 raise thrice,70,3,x^y,343000
25 raise thrice,25,3,x^y,15625
69 raise thrice,69,3,x^y,328509
83 raise thrice,83,3,x^y,571787
